Game Id,Series,Home,Away,Season,Week Day,Date,Home Goals,Away Goals,Result
1,2. Bundesliga,Energie Cottbus,SG Dynamo Dresden,2011-2012,Friday,2011-7-15,2,1,1
2,2. Bundesliga,FSV Frankfurt,Union Berlin,2011-2012,Friday,2011-7-15,1,1,X
3,2. Bundesliga,Greuther Furth,Eintracht Frankfurt,2011-2012,Friday,2011-7-15,2,3,2
4,2. Bundesliga,Aue,Alemannia Aachen,2011-2012,Saturday,2011-7-16,1,0,1
5,2. Bundesliga,St. Pauli,Ingolstadt,2011-2012,Saturday,2011-7-16,2,0,1
6,Super League,Sion,Zurich,2011-2012,Saturday,2011-7-16,1,0,1
7,Super League,Young Boys,Basel,2011-2012,Saturday,2011-7-16,1,1,X
8,2. Bundesliga,Braunschweig,Munich 1860,2011-2012,Sunday,2011-7-17,3,1,1
9,2. Bundesliga,Hansa Rostock,Paderborn,2011-2012,Sunday,2011-7-17,1,2,2
10,2. Bundesliga,Karlsruher,Duisburg,2011-2012,Sunday,2011-7-17,3,2,1
11,Super League,Servette,Thun,2011-2012,Sunday,2011-7-17,1,2,2
12,Super League,Xamax,Luzern,2011-2012,Sunday,2011-7-17,0,3,2
13,2. Bundesliga,Dusseldorf,Bochum,2011-2012,Monday,2011-7-18,2,0,1
14,Super League,Grasshoppers,Lausanne,2011-2012,Wednesday,2011-7-20,2,0,1
15,2. Bundesliga,Ingolstadt,Aue,2011-2012,Friday,2011-7-22,0,0,X
16,2. Bundesliga,Bochum,FSV Frankfurt,2011-2012,Friday,2011-7-22,1,0,1
17,2. Bundesliga,Duisburg,Energie Cottbus,2011-2012,Friday,2011-7-22,1,2,2
18,2. Bundesliga,Munich 1860,Karlsruher,2011-2012,Saturday,2011-7-23,2,1,1
19,2. Bundesliga,Union Berlin,Greuther Furth,2011-2012,Saturday,2011-7-23,0,4,2
20,Super League,Sion,Young Boys,2011-2012,Saturday,2011-7-23,1,2,2
21,Super League,Zurich,Servette,2011-2012,Saturday,2011-7-23,2,3,2
22,2. Bundesliga,Alemannia Aachen,Braunschweig,2011-2012,Sunday,2011-7-24,0,2,2
23,2. Bundesliga,SG Dynamo Dresden,Hansa Rostock,2011-2012,Sunday,2011-7-24,1,1,X
24,2. Bundesliga,Paderborn,Dusseldorf,2011-2012,Sunday,2011-7-24,1,1,X
25,Super League,Basel,Xamax,2011-2012,Sunday,2011-7-24,2,0,1
26,Super League,Thun,Grasshoppers,2011-2012,Sunday,2011-7-24,3,0,1
27,2. Bundesliga,Eintracht Frankfurt,St. Pauli,2011-2012,Monday,2011-7-25,1,1,X
28,Ligue 2,Amiens,Troyes,2011-2012,Friday,2011-7-29,1,1,X
29,Ligue 2,Angers,Le Havre,2011-2012,Friday,2011-7-29,1,2,2
30,Ligue 2,Bastia,Istres,2011-2012,Friday,2011-7-29,3,1,1
31,Ligue 2,Guingamp,Chateauroux,2011-2012,Friday,2011-7-29,1,1,X
32,Ligue 2,Laval,Clermont,2011-2012,Friday,2011-7-29,1,2,2
33,Ligue 2,Sedan,Nantes,2011-2012,Friday,2011-7-29,2,0,1
34,Ligue 2,Tours,Metz,2011-2012,Friday,2011-7-29,1,0,1
35,Ligue 2,Arles-Avignon,Le Mans,2011-2012,Friday,2011-7-29,1,0,1
36,Ligue 2,Lens,Reims,2011-2012,Saturday,2011-7-30,0,2,2
37,Super League,Grasshoppers,Basel,2011-2012,Saturday,2011-7-30,2,2,X
38,Super League,Lausanne,Zurich,2011-2012,Saturday,2011-7-30,2,1,1
39,Super League,Luzern,Thun,2011-2012,Sunday,2011-7-31,0,0,X
40,Super League,Xamax,Sion,2011-2012,Sunday,2011-7-31,0,3,2
41,Super League,Young Boys,Servette,2011-2012,Sunday,2011-7-31,1,1,X
42,Ligue 2,Monaco,Boulogne,2011-2012,Monday,2011-8-1,0,0,X
43,Super League,Lausanne,Luzern,2011-2012,Wednesday,2011-8-3,0,1,2
44,2. Bundesliga,Dusseldorf,Ingolstadt,2011-2012,Friday,2011-8-5,4,1,1
45,2. Bundesliga,St. Pauli,Alemannia Aachen,2011-2012,Friday,2011-8-5,3,1,1
46,2. Bundesliga,Union Berlin,Paderborn,2011-2012,Friday,2011-8-5,3,0,1
47,Championship,Hull City,Blackpool,2011-2012,Friday,2011-8-5,0,1,2
48,Bundesliga,Dortmund,Hamburger SV,2011-2012,Friday,2011-8-5,3,1,1
49,Eredivisie,Excelsior,Feyenoord,2011-2012,Friday,2011-8-5,0,2,2
50,Ligue 2,Boulogne,Angers,2011-2012,Friday,2011-8-5,3,3,X
51,Ligue 2,Clermont,Guingamp,2011-2012,Friday,2011-8-5,0,1,2
52,Ligue 2,Istres,Lens,2011-2012,Friday,2011-8-5,2,1,1
53,Ligue 2,Le Havre,Laval,2011-2012,Friday,2011-8-5,1,1,X
54,Ligue 2,Le Mans,Tours,2011-2012,Friday,2011-8-5,0,1,2
55,Ligue 2,Nantes,Bastia,2011-2012,Friday,2011-8-5,0,2,2
56,Ligue 2,Reims,Amiens,2011-2012,Friday,2011-8-5,1,0,1
57,Ligue 2,Chateauroux,Sedan,2011-2012,Friday,2011-8-5,0,1,2
58,Championship,Coventry,Leicester,2011-2012,Saturday,2011-8-6,0,1,2
59,2. Bundesliga,Energie Cottbus,Munich 1860,2011-2012,Saturday,2011-8-6,0,5,2
60,2. Bundesliga,Greuther Furth,SG Dynamo Dresden,2011-2012,Saturday,2011-8-6,1,0,1
61,League One,Brentford,Yeovil,2011-2012,Saturday,2011-8-6,2,0,1
62,League One,Carlisle,Notts Co,2011-2012,Saturday,2011-8-6,0,3,2
63,League One,Huddersfield,Bury,2011-2012,Saturday,2011-8-6,1,1,X
64,League One,Walsall,Leyton Orient,2011-2012,Saturday,2011-8-6,1,0,1
65,League One,Wycombe,Scunthorpe,2011-2012,Saturday,2011-8-6,1,1,X
66,Championship,Bristol City,Ipswich,2011-2012,Saturday,2011-8-6,0,3,2
67,Championship,Middlesbrough,Portsmouth,2011-2012,Saturday,2011-8-6,2,2,X
68,Championship,Nottingham,Barnsley,2011-2012,Saturday,2011-8-6,0,0,X
69,Championship,Brighton,Doncaster,2011-2012,Saturday,2011-8-6,2,1,1
70,Championship,Burnley,Watford,2011-2012,Saturday,2011-8-6,2,2,X
71,Championship,Derby,Birmingham,2011-2012,Saturday,2011-8-6,2,1,1
72,Championship,Peterborough,Crystal Palace,2011-2012,Saturday,2011-8-6,2,1,1
73,Championship,Reading,Millwall,2011-2012,Saturday,2011-8-6,2,2,X
74,Bundesliga,Augsburg,Freiburg,2011-2012,Saturday,2011-8-6,2,2,X
75,Bundesliga,Hannover,Hoffenheim,2011-2012,Saturday,2011-8-6,2,1,1
76,Bundesliga,FC Koln,Wolfsburg,2011-2012,Saturday,2011-8-6,0,3,2
77,Bundesliga,Stuttgart,Schalke,2011-2012,Saturday,2011-8-6,3,0,1
78,Bundesliga,Werder Bremen,Kaiserslautern,2011-2012,Saturday,2011-8-6,2,0,1
79,Ligue 2,Troyes,Monaco,2011-2012,Saturday,2011-8-6,1,1,X
80,Championship,Southampton,Leeds,2011-2012,Saturday,2011-8-6,3,1,1
81,Bundesliga,Hertha Berlin,Nurnberg,2011-2012,Saturday,2011-8-6,0,1,2
82,Super League,Basel,Sion,2011-2012,Saturday,2011-8-6,3,3,X
83,Super League,Servette,Lausanne,2011-2012,Saturday,2011-8-6,4,2,1
84,Eredivisie,Roda,Groningen,2011-2012,Saturday,2011-8-6,2,1,1
85,Eredivisie,Heerenveen,Nijmegen,2011-2012,Saturday,2011-8-6,2,2,X
86,Eredivisie,Waalwijk,Heracles,2011-2012,Saturday,2011-8-6,2,2,X
87,Ligue 1,AC Ajaccio,Toulouse,2011-2012,Saturday,2011-8-6,0,2,2
88,Ligue 1,Brest,Evian TG,2011-2012,Saturday,2011-8-6,2,2,X
89,Ligue 1,Caen,Valenciennes,2011-2012,Saturday,2011-8-6,1,0,1
90,Ligue 1,Marseille,Sochaux,2011-2012,Saturday,2011-8-6,2,2,X
91,Ligue 1,Montpellier,Auxerre,2011-2012,Saturday,2011-8-6,3,1,1
92,Ligue 1,Nancy,Lille,2011-2012,Saturday,2011-8-6,1,1,X
93,Ligue 1,Nice,Lyon,2011-2012,Saturday,2011-8-6,1,3,2
94,Ligue 1,Paris SG,Lorient,2011-2012,Saturday,2011-8-6,0,1,2
95,Eredivisie,Venlo,Utrecht,2011-2012,Saturday,2011-8-6,0,0,X
96,Championship,West Ham,Cardiff,2011-2012,Sunday,2011-8-7,0,1,2
97,2. Bundesliga,Aue,Karlsruher,2011-2012,Sunday,2011-8-7,0,2,2
98,2. Bundesliga,Braunschweig,Eintracht Frankfurt,2011-2012,Sunday,2011-8-7,0,3,2
99,2. Bundesliga,FSV Frankfurt,Duisburg,2011-2012,Sunday,2011-8-7,0,0,X
100,Eredivisie,AZ Alkmaar,PSV,2011-2012,Sunday,2011-8-7,3,1,1
101,Bundesliga,Mainz,Bayer Leverkusen,2011-2012,Sunday,2011-8-7,2,0,1
102,Eredivisie,Graafschap,Ajax,2011-2012,Sunday,2011-8-7,1,4,2
103,Eredivisie,Den Haag,Vitesse,2011-2012,Sunday,2011-8-7,0,0,X
104,Ligue 1,Dijon,Rennes,2011-2012,Sunday,2011-8-7,1,5,2
105,Super League,Luzern,Young Boys,2011-2012,Sunday,2011-8-7,1,1,X
106,Super League,Thun,Xamax,2011-2012,Sunday,2011-8-7,0,0,X
107,Super League,Zurich,Grasshoppers,2011-2012,Sunday,2011-8-7,6,0,1
108,Bundesliga,Bayern Munich,B. Monchengladbach,2011-2012,Sunday,2011-8-7,0,1,2
109,Eredivisie,Breda,Twente,2011-2012,Sunday,2011-8-7,0,1,2
110,Ligue 1,Bordeaux,St Etienne,2011-2012,Sunday,2011-8-7,1,2,2
111,2. Bundesliga,Hansa Rostock,Bochum,2011-2012,Monday,2011-8-8,0,0,X
112,Ligue 2,Metz,Arles-Avignon,2011-2012,Monday,2011-8-8,0,0,X
113,2. Bundesliga,SG Dynamo Dresden,Union Berlin,2011-2012,Friday,2011-8-12,4,0,1
114,2. Bundesliga,Karlsruher,Braunschweig,2011-2012,Friday,2011-8-12,1,3,2
115,2. Bundesliga,Bochum,St. Pauli,2011-2012,Friday,2011-8-12,1,2,2
116,Ligue 2,Amiens,Le Havre,2011-2012,Friday,2011-8-12,0,1,2
117,Ligue 2,Angers,Istres,2011-2012,Friday,2011-8-12,3,1,1
118,Ligue 2,Arles-Avignon,Nantes,2011-2012,Friday,2011-8-12,0,0,X
119,Ligue 2,Bastia,Le Mans,2011-2012,Friday,2011-8-12,1,0,1
120,Ligue 2,Laval,Boulogne,2011-2012,Friday,2011-8-12,2,2,X
121,Ligue 2,Sedan,Clermont,2011-2012,Friday,2011-8-12,1,2,2
122,Ligue 2,Tours,Chateauroux,2011-2012,Friday,2011-8-12,1,2,2
123,Ligue 2,Guingamp,Metz,2011-2012,Friday,2011-8-12,0,1,2
124,Primeira Liga,Gil Vicente,Benfica,2011-2012,Friday,2011-8-12,2,2,X
125,2. Bundesliga,Alemannia Aachen,Energie Cottbus,2011-2012,Saturday,2011-8-13,0,2,2
126,2. Bundesliga,Paderborn,Greuther Furth,2011-2012,Saturday,2011-8-13,0,1,2
127,League One,Bournemouth,Sheffield Wed,2011-2012,Saturday,2011-8-13,2,0,1
128,League One,Bury,Carlisle,2011-2012,Saturday,2011-8-13,0,2,2
129,League One,Chesterfield,Stevenage,2011-2012,Saturday,2011-8-13,1,1,X
130,League One,Colchester,Wycombe,2011-2012,Saturday,2011-8-13,1,1,X
131,League One,Exeter,MK Dons,2011-2012,Saturday,2011-8-13,0,2,2
132,League One,Hartlepool,Walsall,2011-2012,Saturday,2011-8-13,1,1,X
133,League One,Leyton Orient,Tranmere,2011-2012,Saturday,2011-8-13,0,1,2
134,League One,Notts Co,Charlton,2011-2012,Saturday,2011-8-13,1,2,2
135,League One,Rochdale,Huddersfield,2011-2012,Saturday,2011-8-13,2,2,X
136,League One,Scunthorpe,Preston,2011-2012,Saturday,2011-8-13,1,1,X
137,League One,Sheffield Utd,Brentford,2011-2012,Saturday,2011-8-13,2,0,1
138,League One,Yeovil,Oldham,2011-2012,Saturday,2011-8-13,3,1,1
