Game Id;Series;Home;Away;Season;Week Day;Date;Home goals;Away goals;Result
1;Super League;Servette;Basel;2012-2013;Friday;2012-07-13;0;1;2
2;Super League;Thun;Lausanne;2012-2013;Saturday;2012-07-14;0;0;X
3;Super League;St. Gallen;Young Boys;2012-2013;Sunday;2012-07-15;1;1;X
4;Super League;Grasshoppers;Sion;2012-2013;Sunday;2012-07-15;0;2;2
5;Super League;Luzern;Zurich;2012-2013;Sunday;2012-07-15;1;1;X
6;Super League;Basel;Luzern;2012-2013;Saturday;2012-07-21;2;2;X
7;Super League;Lausanne;St. Gallen;2012-2013;Saturday;2012-07-21;0;1;2
8;Super League;Zurich;Thun;2012-2013;Sunday;2012-07-22;0;2;2
9;Super League;Sion;Servette;2012-2013;Sunday;2012-07-22;1;0;1
10;Super League;Young Boys;Grasshoppers;2012-2013;Sunday;2012-07-22;0;1;2
11;Ligue 2;Angers;Sedan;2012-2013;Friday;2012-07-27;1;0;1
12;Ligue 2;Auxerre;Nimes;2012-2013;Friday;2012-07-27;2;0;1
13;Ligue 2;Chateauroux;Laval;2012-2013;Friday;2012-07-27;1;1;X
14;Ligue 2;Dijon;Guingamp;2012-2013;Friday;2012-07-27;1;0;1
15;Ligue 2;GFC Ajaccio;Caen;2012-2013;Friday;2012-07-27;0;0;X
16;Ligue 2;Le Havre;Arles-Avignon;2012-2013;Friday;2012-07-27;1;2;2
17;Ligue 2;Nantes;Istres;2012-2013;Friday;2012-07-27;1;1;X
18;Ligue 2;Niort;Clermont;2012-2013;Friday;2012-07-27;1;1;X
19;Ligue 2;Lens;Le Mans;2012-2013;Saturday;2012-07-28;2;2;X
20;Super League;Grasshoppers;Basel;2012-2013;Saturday;2012-07-28;2;2;X
21;Super League;St. Gallen;Zurich;2012-2013;Saturday;2012-07-28;3;1;1
22;Super League;Luzern;Sion;2012-2013;Sunday;2012-07-29;0;3;2
23;Super League;Lausanne;Servette;2012-2013;Sunday;2012-07-29;5;1;1
24;Super League;Young Boys;Thun;2012-2013;Sunday;2012-07-29;3;0;1
25;Ligue 2;Monaco;Tours;2012-2013;Monday;2012-07-30;4;0;1
26;2. Bundesliga;Hertha Berlin;Paderborn;2012-2013;Friday;2012-08-03;2;2;X
27;2. Bundesliga;Aue;St. Pauli;2012-2013;Friday;2012-08-03;0;0;X
28;2. Bundesliga;Ingolstadt;Energie Cottbus;2012-2013;Friday;2012-08-03;2;2;X
29;Ligue 2;Arles-Avignon;Lens;2012-2013;Friday;2012-08-03;0;0;X
30;Ligue 2;Clermont;Angers;2012-2013;Friday;2012-08-03;1;2;2
31;Ligue 2;Guingamp;Le Havre;2012-2013;Friday;2012-08-03;3;3;X
32;Ligue 2;Istres;GFC Ajaccio;2012-2013;Friday;2012-08-03;2;0;1
